position,identity
15956,1
15957,1
15958,1
15959,1
15960,0.75631839
15961,1
15962,1
15963,1
15964,1
15965,0.993421078
15966,0.954859316
15967,0.811012685
15968,0.51085633
15969,1
15970,0.980350018
15971,1
15972,1
15973,1
15974,1
15975,1
15976,1
15977,1
15978,0.98039341
15979,1
15980,1
15981,1
15982,0.930019975
15983,1
15984,1
15985,1
15986,1
15987,1
15988,1
15989,1
15990,1
15991,1
15992,1
15993,0.993421078
15994,1
15995,1
15996,1
15997,1
15998,1
15999,1
16000,1
16001,1
16002,1
16003,1
16004,1
16005,1
16006,1
16007,1
16008,1
16009,1
16010,1
16011,1
16012,1
16013,1
16014,1
16015,1
16016,1
16017,1
16018,0.893412352
16019,1
16020,0.923142076
16021,0.498436689
16022,0.75631839
16023,1
16024,1
16025,1
16026,1
16027,1
16028,0.948584318
16029,1
16030,1
16031,1
16032,0.961177707
16033,1
16034,1
16035,0.993421078
16036,1
16037,1
16038,1
16039,0.954859316
16040,1
16041,1
16042,1
16043,1
16044,1
16045,1
16046,1
16047,1
16048,1
16049,1
16050,1
16051,0.905875444
16052,0.98039341
16053,0.967539489
16054,1
16055,1
16056,0.98039341
16057,0.592930317
16058,0.637311101
16059,1
16060,0.658936918
16061,0.380667001
16062,0.954859316
16063,0.899947882
16064,0.911846459
16065,1
16066,0.993421078
16067,0.961177707
16068,0.954729021
16069,1
16070,0.930019975
16071,0.98039341
16072,0.98039341
16073,0.993421078
16074,1
16075,0.967539489
16076,1
16077,1
16078,0.876671851
16079,0.993421078
16080,1
16081,1
16082,1
16083,1
16084,1
16085,1
16086,1
16087,0.948584318
16088,0.986885548
16089,1
16090,0.780528069
16091,1
16092,0.973944783
16093,0.986885548
16094,0.986885548
16095,0.936164677
16096,0.830119848
16097,1
16098,0.843060613
16099,0.967539489
16100,1
16101,0.513961256
16102,0.948584318
16103,1
16104,0.967539489
16105,1
16106,0.993421078
16107,0.986863792
16108,1
16109,0.929607451
16110,1
16111,0.967539489
16112,1
16113,0.888223052
16114,0.948584318
16115,1
16116,0.706878603
16117,0.98039341
16118,0.69430691
16119,1
16120,0.967452645
16121,1
16122,0.905875444
16123,0.930019975
16124,0.923918724
16125,1
16126,0.954859316
16127,0.973944783
16128,1
16129,0.961069107
16130,1
16131,1
16132,1
16133,0.923918724
16134,1
16135,0.698454082
16136,0.993421078
16137,0.993421078
16138,1
16139,0.980350018
16140,0.715759099
16141,0.993421078
16142,0.986885548
16143,0.795574963
16144,0.520952761
16145,0.993421078
16146,0.911846459
16147,1
16148,1
16149,1
16150,0.954859316
16151,0.674222708
16152,0.893716335
16153,0.986885548
16154,1
16155,0.961177707
16156,0.899337769
16157,0.993421078
16158,0.557060957
16159,1
16160,0.936164677
16161,0.566853404
16162,0.993421078
16163,0.690789461
16164,1
16165,0.993421078
16166,1
16167,0.993421078
16168,1
16169,0.843060613
16170,0.973944783
16171,0.811012685
16172,0.993421078
16173,1
16174,0.986885548
16175,1
16176,0.948584318
16177,1
16178,0.935643554
16179,1
16180,1
16181,1
16182,1
16183,0.993421078
16184,1
16185,1
16186,0.967452645
16187,0.993421078
16188,1
16189,1
16190,0.98039341
16191,1
16192,1
16193,0.800677419
16194,0.751606762
16195,0.993421078
16196,1
16197,1
16198,0.980350018
16199,1
16200,1
16201,1
16202,0.961177707
16203,1
16204,0.917600334
16205,0.993421078
16206,0.993421078
16207,1
16208,1
16209,1
16210,1
16211,1
16212,1
16213,1
16214,0.986885548
16215,0.98039341
16216,0.948584318
16217,1
16218,1
16219,1
16220,0.993421078
16221,0.911846459
16222,0.993421078
16223,0.886551142
16224,1
16225,0.548375905
16226,0.954729021
16227,1
16228,1
16229,1
16230,0.98039341
16231,0.993421078
16232,0.899947882
16233,1
16234,1
16235,1
16236,1
16237,1
16238,1
16239,1
16240,1
16241,1
16242,1
16243,0.993421078
16244,1
16245,1
16246,1
16247,1
16248,1
16249,0.967539489
16250,0.98039341
16251,1
16252,0.882425725
16253,0.780528069
16254,0.967452645
16255,0.973879635
16256,1
16257,1
16258,1
16259,0.986885548
16260,0.973879635
16261,1
16262,0.82152164
16263,0.876671851
16264,0.651554644
16265,0.993421078
16266,0.993421078
16267,0.993421078
16268,0.993421078
16269,0.936164677
16270,0.942179084
16271,0.98039341
16272,0.98039341
16273,0.986885548
16274,0.986885548
16275,1
16276,1
16277,1
16278,0.875868499
16279,0.961177707
16280,0.666492939
16281,0.986885548
16282,0.986885548
16283,1
16284,1
16285,1
16286,1
16287,0.540385604
16288,0.805823326
16289,1
16290,0.973944783
16291,0.993421078
16292,0.886988342
16293,0.911414146
16294,0.973941386
16295,1
16296,0.948584318
16297,1
16298,1
16299,0.986863792
16300,0.973944783
16301,0.993421078
16302,0.986885548
16303,0.935526609
16304,0.986885548
16305,0.993421078
16306,0.894063771
16307,1
16308,0.993421078
16309,0.98039341
16310,0.973944783
16311,0.9803496
16312,0.98039341
16313,0.967539489
16314,0.967539489
16315,1
16316,0.948584318
16317,0.993421078
16318,0.993421078
16319,0.993421078
16320,0.993421078
16321,0.98039341
16322,0.993421078
16323,1
16324,0.993421078
16325,0.876259327
16326,1
16327,1
16328,0.993421078
16329,0.993421078
16330,1
16331,1
16332,0.993421078
16333,0.993421078
16334,0.986863792
16335,1
16336,0.986885548
16337,1
